,nodes neighbors,labels
0,"[[2, 4, 5, 9, 10], [2, 6, 8, 12, 14, 17, 18, 19], [0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [2, 6, 11, 12, 16, 19], [0, 2, 5, 9, 10], [0, 2, 4, 9, 10], [1, 2, 3, 8, 11, 12, 14, 16, 17, 18, 19], [2, 13, 15], [1, 2, 6, 12, 14, 17, 18, 19], [0, 2, 4, 5, 10], [0, 2, 4, 5, 9], [2, 3, 6, 12, 16, 19], [1, 2, 3, 6, 8, 11, 14, 16, 17, 18, 19], [2, 7, 15], [1, 2, 6, 8, 12, 17, 18, 19], [2, 7, 13, 19], [2, 3, 6, 11, 12, 19], [1, 2, 6, 8, 12, 14, 18, 19], [1, 2, 6, 8, 12, 14, 17, 19], [1, 2, 3, 6, 8, 11, 12, 14, 15, 16, 17, 18]]",-1.0
1,"[[6, 7, 14, 23], [2, 14, 23, 27], [1, 14, 23, 27], [4, 5, 13, 14, 20, 21, 23, 26, 28, 29], [3, 5, 13, 14, 20, 21, 23, 26, 28, 29], [3, 4, 13, 14, 20, 21, 23, 26, 28, 29], [0, 7, 14, 23], [0, 6, 14, 23], [9, 14, 23, 30], [8, 14, 23, 30], [14, 17, 18, 22, 23], [12, 14, 16, 23, 24, 25], [11, 14, 16, 23, 24, 25], [3, 4, 5, 14, 15, 19, 20, 21, 23, 26, 28, 29, 31], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], [13, 14, 19, 23, 31], [11, 12, 14, 23, 24, 25], [10, 14, 18, 22, 23], [10, 14, 17, 22, 23], [13, 14, 15, 23, 31], [3, 4, 5, 13, 14, 21, 23, 26, 28, 29], [3, 4, 5, 13, 14, 20, 23, 26, 28, 29], [10, 14, 17, 18, 23], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31], [11, 12, 14, 16, 23, 25], [11, 12, 14, 16, 23, 24], [3, 4, 5, 13, 14, 20, 21, 23, 28, 29], [1, 2, 14, 23], [3, 4, 5, 13, 14, 20, 21, 23, 26, 29], [3, 4, 5, 13, 14, 20, 21, 23, 26, 28], [8, 9, 14, 23], [13, 14, 15, 19, 23]]",-1.0
2,"[[2, 3, 5, 6, 7, 11, 12, 19, 20], [2, 4, 8, 9, 10, 18], [0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], [0, 2, 5, 6, 7, 11, 12, 19, 20], [1, 2, 8, 9, 10, 18], [0, 2, 3, 6, 7, 11, 12, 19, 20], [0, 2, 3, 5, 7, 11, 12, 19, 20], [0, 2, 3, 5, 6, 11, 12, 19, 20], [1, 2, 4, 9, 10, 18], [1, 2, 4, 8, 10, 18], [1, 2, 4, 8, 9, 18], [0, 2, 3, 5, 6, 7, 12, 19, 20], [0, 2, 3, 5, 6, 7, 11, 19, 20], [2, 14, 15, 16, 17], [2, 13, 15, 16, 17], [2, 13, 14, 16, 17], [2, 13, 14, 15, 17], [2, 13, 14, 15, 16], [1, 2, 4, 8, 9, 10], [0, 2, 3, 5, 6, 7, 11, 12, 20], [0, 2, 3, 5, 6, 7, 11, 12, 19]]",-1.0
3,"[[2, 8, 9, 15, 17, 25, 29], [10, 18, 19, 25, 32], [0, 4, 8, 14, 17, 21, 25, 26, 30, 33], [6, 11, 12, 13, 17, 25], [2, 8, 17, 25, 30, 33], [17, 23, 25, 28, 31], [3, 11, 12, 13, 17, 25], [8, 17, 22, 23, 25], [0, 2, 4, 7, 14, 17, 22, 23, 25, 26, 30, 33], [0, 15, 17, 25, 29], [1, 18, 19, 25, 32], [3, 6, 12, 13, 17, 25], [3, 6, 11, 13, 17, 25], [3, 6, 11, 12, 17, 25], [2, 8, 17, 19, 25, 26], [0, 9, 17, 25, 29], [17, 20, 21, 23, 24, 25, 27], [0, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34], [1, 10, 19, 25, 32], [1, 10, 14, 18, 25, 32], [16, 17, 21, 25, 27], [2, 16, 17, 20, 23, 24, 25, 27, 34], [7, 8, 17, 23, 25], [5, 7, 8, 16, 17, 21, 22, 24, 25, 28, 31, 34], [16, 17, 21, 23, 25, 34], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34], [2, 8, 14, 17, 25], [16, 17, 20, 21, 25], [5, 17, 23, 25, 31], [0, 9, 15, 17, 25], [2, 4, 8, 17, 25, 33], [5, 17, 23, 25, 28], [1, 10, 18, 19, 25], [2, 4, 8, 17, 25, 30], [17, 21, 23, 24, 25]]",-1.0
4,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], [0, 3, 4, 7, 10, 11], [0, 5, 6, 8, 9, 11, 12, 13], [0, 1, 4, 7, 10, 11], [0, 1, 3, 7, 10, 11], [0, 2, 6, 8, 9, 11, 12, 13], [0, 2, 5, 8, 9, 11, 12, 13], [0, 1, 3, 4, 10, 11], [0, 2, 5, 6, 9, 11, 12, 13], [0, 2, 5, 6, 8, 11, 12, 13], [0, 1, 3, 4, 7, 11], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13], [0, 2, 5, 6, 8, 9, 11, 13], [0, 2, 5, 6, 8, 9, 11, 12]]",-1.0
5,"[[17, 36, 37, 40, 56], [2, 7, 30, 39, 40], [1, 7, 9, 28, 30, 39, 40], [12, 26, 27, 40, 57], [10, 13, 23, 40, 47, 49, 50], [9, 40, 42, 45, 54, 55], [29, 40, 46, 48, 58], [1, 2, 30, 39, 40], [21, 22, 25, 34, 38, 40], [2, 5, 40, 42, 45, 54, 55], [4, 13, 23, 40, 47, 49, 50], [31, 40, 51, 52, 61], [3, 17, 26, 27, 40, 56, 57], [4, 10, 23, 40, 47, 49, 50], [16, 19, 35, 40, 53], [20, 32, 33, 40], [14, 19, 35, 40, 53], [0, 12, 36, 37, 40, 56], [28, 32, 40, 41, 44, 62], [14, 16, 35, 40, 53], [15, 32, 33, 40], [8, 22, 25, 34, 38, 40], [8, 21, 25, 34, 38, 40], [4, 10, 13, 40, 47, 49, 50], [38, 40, 43, 59, 60], [8, 21, 22, 34, 38, 40], [3, 12, 27, 40, 57], [3, 12, 26, 40, 57], [2, 18, 32, 40, 41, 44, 62], [6, 40, 46, 48, 58], [1, 2, 7, 39, 40], [11, 40, 51, 52, 60, 61], [15, 18, 20, 28, 33, 40, 41, 44, 62], [15, 20, 32, 40], [8, 21, 22, 25, 38, 40], [14, 16, 19, 40, 53], [0, 17, 37, 40, 56], [0, 17, 36, 40, 56], [8, 21, 22, 24, 25, 34, 40, 43, 59, 60], [1, 2, 7, 30, 40], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62], [18, 28, 32, 40, 44, 62], [5, 9, 40, 45, 54, 55], [24, 38, 40, 59, 60], [18, 28, 32, 40, 41, 62], [5, 9, 40, 42, 54, 55], [6, 29, 40, 48, 58], [4, 10, 13, 23, 40, 49, 50], [6, 29, 40, 46, 56, 58], [4, 10, 13, 23, 40, 47, 50], [4, 10, 13, 23, 40, 47, 49], [11, 31, 40, 52, 61], [11, 31, 40, 51, 61], [14, 16, 19, 35, 40], [5, 9, 40, 42, 45, 55], [5, 9, 40, 42, 45, 54], [0, 12, 17, 36, 37, 40, 48], [3, 12, 26, 27, 40], [6, 29, 40, 46, 48, 60], [24, 38, 40, 43, 60], [24, 31, 38, 40, 43, 58, 59], [11, 31, 40, 51, 52], [18, 28, 32, 40, 41, 44]]",-1.0
6,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11], [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",-1.0
7,"[[1, 4, 5, 6, 7, 8, 9, 14], [0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], [1, 3, 5, 10, 11, 12, 13], [1, 2, 5, 10, 11, 12, 13], [0, 1, 5, 6, 7, 8, 9, 14], [0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14], [0, 1, 4, 5, 7, 8, 9, 14], [0, 1, 4, 5, 6, 8, 9, 14], [0, 1, 4, 5, 6, 7, 9, 14], [0, 1, 4, 5, 6, 7, 8, 14], [1, 2, 3, 5, 11, 12, 13], [1, 2, 3, 5, 10, 12, 13], [1, 2, 3, 5, 10, 11, 13], [1, 2, 3, 5, 10, 11, 12], [0, 1, 4, 5, 6, 7, 8, 9]]",-1.0
8,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",-1.0
9,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11], [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",-1.0
10,"[[2, 3, 4, 5, 6, 8, 10], [7, 8, 9, 11], [0, 3, 4, 5, 6, 8, 10], [0, 2, 4, 5, 6, 8, 10], [0, 2, 3, 5, 6, 8, 10], [0, 2, 3, 4, 6, 8, 10], [0, 2, 3, 4, 5, 8, 10], [1, 8, 9, 11], [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11], [1, 7, 8, 11], [0, 2, 3, 4, 5, 6, 8], [1, 7, 8, 9]]",-1.0
11,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]",-1.0
12,"[[1, 4, 5, 6, 7, 8, 10, 11, 12], [0, 4, 5, 6, 7, 8, 10, 11, 12], [3, 4, 7, 9], [2, 4, 7, 9, 11], [0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 4, 6, 7, 8, 10, 11, 12], [0, 1, 4, 5, 7, 8, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12], [0, 1, 4, 5, 6, 7, 10, 11, 12], [2, 3, 4, 7], [0, 1, 4, 5, 6, 7, 8, 11, 12], [0, 1, 3, 4, 5, 6, 7, 8, 10, 12], [0, 1, 4, 5, 6, 7, 8, 10, 11]]",-1.0
13,"[[1, 4, 7, 8, 10, 11, 12, 14, 17, 18, 19], [0, 4, 7, 8, 10, 11, 12, 14, 17, 18, 19], [3, 4, 5, 6, 7, 9, 11, 13, 14, 15, 16], [2, 4, 5, 6, 7, 9, 13, 14, 15, 16], [0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [2, 3, 4, 6, 7, 9, 13, 14, 15, 16], [2, 3, 4, 5, 7, 9, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 4, 7, 10, 11, 12, 14, 17, 18, 19], [2, 3, 4, 5, 6, 7, 13, 14, 15, 16], [0, 1, 4, 7, 8, 11, 12, 14, 17, 18, 19], [0, 1, 2, 4, 7, 8, 10, 12, 14, 15, 17, 18, 19], [0, 1, 4, 7, 8, 10, 11, 14, 17, 18, 19], [2, 3, 4, 5, 6, 7, 9, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19], [2, 3, 4, 5, 6, 7, 9, 11, 13, 14, 16], [2, 3, 4, 5, 6, 7, 9, 13, 14, 15], [0, 1, 4, 7, 8, 10, 11, 12, 14, 18, 19], [0, 1, 4, 7, 8, 10, 11, 12, 14, 17, 19], [0, 1, 4, 7, 8, 10, 11, 12, 14, 17, 18]]",-1.0
14,"[[19, 39, 53, 54, 71], [25, 28, 30, 39, 65, 69], [11, 39, 43, 47, 50, 62, 70], [13, 14, 20, 33, 39], [16, 27, 32, 36, 39, 40, 45, 49], [7, 39, 44, 57, 60], [11, 19, 39, 42, 50, 53, 54], [5, 39, 44, 57, 60], [18, 34, 39, 46, 55], [12, 15, 39, 51, 61, 63, 67], [23, 35, 39, 41, 64, 68], [2, 6, 39, 43, 47, 50, 62, 70], [9, 15, 39, 51, 61, 63, 67], [3, 14, 17, 20, 21, 24, 26, 29, 33, 39, 58], [3, 13, 20, 33, 39, 57], [9, 12, 39, 51, 61, 63, 67], [4, 27, 32, 36, 39, 40, 45, 49], [13, 21, 24, 26, 29, 39, 58], [8, 34, 39, 46, 55], [0, 6, 39, 42, 53, 54, 71], [3, 13, 14, 33, 39], [13, 17, 24, 26, 29, 39, 58], [31, 38, 39, 56, 66], [10, 35, 39, 41, 64, 68], [13, 17, 21, 26, 29, 39, 58], [1, 28, 30, 39, 65, 69], [13, 17, 21, 24, 29, 39, 58], [4, 16, 32, 36, 39, 40, 45, 49], [1, 25, 30, 31, 39, 65, 69], [13, 17, 21, 24, 26, 39, 58], [1, 25, 28, 39, 65, 69], [22, 28, 38, 39, 56, 66], [4, 16, 27, 36, 39, 40, 45, 49], [3, 13, 14, 20, 39], [8, 18, 39, 46, 55], [10, 23, 39, 41, 64, 68], [4, 16, 27, 32, 39, 40, 45, 49], [39, 48, 52, 59], [22, 31, 39, 56, 66], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71], [4, 16, 27, 32, 36, 39, 45, 49], [10, 23, 35, 39, 64, 68], [6, 19, 39, 53, 54], [2, 11, 39, 47, 50, 62, 70], [5, 7, 39, 57, 60], [4, 16, 27, 32, 36, 39, 40, 49], [8, 18, 34, 39, 55], [2, 11, 39, 43, 50, 62, 70], [37, 39, 52, 59], [4, 16, 27, 32, 36, 39, 40, 45], [2, 6, 11, 39, 43, 47, 62, 70], [9, 12, 15, 39, 61, 63, 67], [37, 39, 48, 59], [0, 6, 19, 39, 42, 54, 71], [0, 6, 19, 39, 42, 53, 71], [8, 18, 34, 39, 46], [22, 31, 38, 39, 66], [5, 7, 14, 39, 44, 60], [13, 17, 21, 24, 26, 29, 39], [37, 39, 48, 52], [5, 7, 39, 44, 57], [9, 12, 15, 39, 51, 63, 67], [2, 11, 39, 43, 47, 50, 70], [9, 12, 15, 39, 51, 61, 67], [10, 23, 35, 39, 41], [1, 25, 28, 30, 39, 69], [22, 31, 38, 39, 56], [9, 12, 15, 39, 51, 61, 63], [10, 23, 35, 39, 41], [1, 25, 28, 30, 39, 65], [2, 11, 39, 43, 47, 50, 62], [0, 19, 39, 53, 54]]",-1.0
